2026-03-16 00:16,黄,0,0.43240126837705395
2026-03-16 00:21,黄,-2
2026-03-16 00:24,黄,-2
2026-03-16 00:27,黄,-2
2026-03-16 00:29,黄,0
2026-03-16 00:33,黄,0
2026-03-16 00:38,黄,1
2026-03-16 00:44,黄,1
2026-03-16 00:46,黄,1
2026-03-16 00:47,黄,1
2026-03-16 00:49,黄,1
2026-03-16 00:53,黄,0
2026-03-16 00:56,黄,0
2026-03-16 01:01,黄,0
2026-03-16 01:07,黄,0
2026-03-16 01:15,黄,1
2026-03-16 02:12,黄,2
2026-03-16 02:21,黄,2,HIGH,NORMAL,強気寄りだが慎重
2026-03-16 02:46,黄,-2,HIGH,NORMAL,弱気寄りで注意
2026-03-16 02:48,黄,1,HIGH,NORMAL,様子見・ノーポジ寄り
2026-03-16 08:54,黄,1,HIGH,NORMAL,様子見・ノーポジ寄り
2026-03-16 05:32,黄,2,HIGH,NORMAL,強気寄りだが慎重
