date,score,total_position,nikkei_alloc,semi_alloc,capital,nikkei_ref_price,semi_ref_price,paper_pnl
2026-03-19 13:56,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-19 14:03,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-19 14:12,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-19 14:19,,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-19 14:26,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-19 14:37,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-19 14:51,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-20 08:57,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-21 08:45,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-22 08:53,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-23 08:54,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-24 08:57,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 08:56,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 15:14,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 15:46,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 15:47,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 16:08,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:16,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:25,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:31,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:32,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:36,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:39,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:45,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:48,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:52,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:56,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 17:59,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 18:09,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-25 18:11,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 08:45,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 08:54,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 08:57,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:01,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:01,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:05,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:07,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:15,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
2026-03-26 09:22,-5,-0.43,-0.3,-0.13,500000,3778.00,369.00,-0.0
